utdate	obsnum	subsysnr	subbands	file_id	instrume	obs_type
20190430	31	1	250MHzx4096	a20190430_00031_02_0001.sdf	HARP	science
20190430	31	1	250MHzx4096	a20190430_00031_02_0002.sdf	HARP	science
20190430	31	2	250MHzx4096	a20190430_00031_01_0001.sdf	HARP	science
20190430	31	2	250MHzx4096	a20190430_00031_01_0002.sdf	HARP	science
20190430	31	2	250MHzx4096	a20190430_00031_02_0001.sdf	HARP	science
20190430	31	2	250MHzx4096	a20190430_00031_02_0002.sdf	HARP	science
20190430	34	1	250MHzx4096	a20190430_00034_01_0001.sdf	HARP	science
20190430	34	1	250MHzx4096	a20190430_00034_01_0002.sdf	HARP	science
20190430	34	1	250MHzx4096	a20190430_00034_02_0001.sdf	HARP	science
20190430	34	1	250MHzx4096	a20190430_00034_02_0002.sdf	HARP	science
20190430	34	2	250MHzx4096	a20190430_00034_01_0001.sdf	HARP	science
20190430	34	2	250MHzx4096	a20190430_00034_01_0002.sdf	HARP	science
20190430	34	2	250MHzx4096	a20190430_00034_02_0001.sdf	HARP	science
20190430	34	2	250MHzx4096	a20190430_00034_02_0002.sdf	HARP	science
20190430	37	1	250MHzx4096	a20190430_00037_01_0001.sdf	HARP	science
20190430	37	1	250MHzx4096	a20190430_00037_01_0002.sdf	HARP	science
20190430	37	1	250MHzx4096	a20190430_00037_02_0001.sdf	HARP	science
20190430	37	1	250MHzx4096	a20190430_00037_02_0002.sdf	HARP	science
20190430	37	2	250MHzx4096	a20190430_00037_01_0001.sdf	HARP	science
20190430	37	2	250MHzx4096	a20190430_00037_01_0002.sdf	HARP	science
20190430	37	2	250MHzx4096	a20190430_00037_02_0001.sdf	HARP	science
20190430	37	2	250MHzx4096	a20190430_00037_02_0002.sdf	HARP	science
20190430	39	1	1000MHzx1024	a20190430_00039_01_0001.sdf	HARP	science
20190430	39	1	1000MHzx1024	a20190430_00039_02_0001.sdf	HARP	science
20190430	39	2	1000MHzx1024	a20190430_00039_01_0001.sdf	HARP	science
20190430	39	2	1000MHzx1024	a20190430_00039_02_0001.sdf	HARP	science
20190430	40	1	1000MHzx1024	a20190430_00040_01_0001.sdf	HARP	science
20190430	40	1	1000MHzx1024	a20190430_00040_02_0001.sdf	HARP	science
20190430	40	2	1000MHzx1024	a20190430_00040_01_0001.sdf	HARP	science
20190430	40	2	1000MHzx1024	a20190430_00040_02_0001.sdf	HARP	science
20190430	43	1	1000MHzx2048	a20190430_00043_01_0001.sdf	HARP	science
